3440	0
-2640	-72
-4120	-8
-4040	-8
-4040	-8
-3960	-18
-3960	-20
-3960	-22
-3920	-28
-3920	-32
-3920	-34
-3920	-38
-3880	-42
-3880	-46
-3920	-50
-3880	-52
-3840	-56
-3840	-60
-3840	-64
-3840	-66
-3840	-70
-3800	-74
-3800	-76
-3760	-78
-3800	-82
-3760	-82
-3760	-88
-3760	-90
-3760	-94
-3760	-96
-3760	-98
-3760	-100
-3760	-104
-3760	-106
-3760	-108
-3720	-110
-3720	-114
-3760	-114
-3720	-118
-3720	-120
-3720	-120
-3720	-122
-3720	-122
-3720	-126
-3720	-128
-3720	-128
-3720	-130
-3720	-130
-3720	-130
-3720	-134
-3680	-132
-3680	-134
-3680	-136
-3640	-136
-3680	-136
-3680	-138
-3640	-138
-3640	-138
-3680	-138
-3640	-138
-3680	-138
-3680	-136
-3640	-138
-3640	-138
-3640	-136
-3640	-136
-3640	-136
-3680	-136
-3640	-134
-3640	-134
-3680	-132
-3640	-130
-3640	-132
-3640	-130
-3640	-128
-3640	-126
-3640	-126
-3640	-124
-3640	-122
-3640	-122
-3640	-118
-3680	-116
-3640	-114
-3640	-114
-3680	-112
-3640	-108
-3640	-106
-3640	-106
-3680	-102
-3640	-100
-3680	-96
-3680	-94
-3640	-92
-3680	-90
-3680	-88
-3640	-82
-3640	-82
-3640	-78
-3680	-76
-3720	-74
-3720	-70
-3680	-66
-3680	-64
-3680	-62
-3680	-58
-3720	-54
-3680	-50
-3680	-48
-3680	-44
-3680	-42
-3720	-38
-3680	-34
-3680	-32
-3720	-26
-3720	-26
-3720	-22
-3720	-18
-3720	-14
-3720	-10
-3720	-8
-3720	-4
-3680	0
-3720	2
-3720	6
-3720	8
-3720	14
-3720	16
-3760	20
-3720	22
-3720	26
-3720	30
-3760	32
-3720	36
-3760	38
-3720	40
-3720	46
-3760	46
-3760	50
-3720	54
-3720	56
-3720	58
-3720	62
-3760	64
-3760	68
-3760	68
-3720	74
-3720	74
-3760	78
-3760	80
-3720	84
-3760	84
-3720	88
-3760	90
-3720	90
-3760	94
-3760	94
-3760	96
-3760	98
-3760	98
-3760	104
-3760	102
-3760	104
-3760	106
-3760	110
-3760	110
-3760	110
-3760	112
-3760	112
-3760	114
-3760	114
-3760	114
-3760	116
-3760	118
